Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/execute/bad_token|tenant=soak-0-1778860699,16,0,20,23.37333599939484,18.135124999389518,36.51624999838532,82.0,1.1600499084010054,0.0,21,25,26,26,31,37,37,37,37,37,37
POST,/execute/injection|tenant=soak-0-1778860699,22,0,24,32.508388363567065,20.098291999602225,99.36166699844762,112.81818181818181,1.5950686240513825,0.0,28,31,32,36,38,79,99,99,99,99,99
POST,/execute/no_auth|tenant=soak-0-1778860699,14,0,26,35.53487807169274,18.077500000799773,82.02429200173356,71.0,1.0150436698508798,0.0,31,37,42,53,76,82,82,82,82,82,82
POST,/execute/oversized|tenant=soak-0-1778860699,17,0,92,92.94505400034456,78.007374999288,117.71750000116299,86.0,1.2325530276760683,0.0,92,98,100,100,120,120,120,120,120,120,120
POST,/execute/valid|tenant=soak-0-1778860699,85,0,41,46.201978458488796,31.032291997689754,138.37895799952094,365.18823529411765,6.162765138380342,0.0,41,43,45,49,74,89,120,140,140,140,140
,Aggregated,154,0,38,46.06415779201232,18.077500000799773,138.37895799952094,242.14935064935065,11.165480368359677,0.0,38,43,49,60,88,100,120,120,140,140,140
