Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/execute/bad_token|tenant=soak-0-1778860929,5,0,29,27.335391599626746,20.26579100129311,34.97320899987244,82.0,0.5555133351284005,0.0,29,29,29,35,35,35,35,35,35,35,35
POST,/execute/injection|tenant=soak-0-1778860929,8,0,37,55.206645999533066,20.986791998439003,131.61324999964563,114.0,0.8888213362054408,0.0,37,45,120,120,130,130,130,130,130,130,130
POST,/execute/no_auth|tenant=soak-0-1778860929,3,0,22,25.160930667577002,19.671625002956716,33.313291998638306,71.0,0.3333080010770403,0.0,22,22,33,33,33,33,33,33,33,33,33
POST,/execute/oversized|tenant=soak-0-1778860929,7,0,83,87.69567271415976,75.35608400212368,105.32058299941127,86.0,0.7777186691797607,0.0,83,91,97,97,110,110,110,110,110,110,110
POST,/execute/valid|tenant=soak-0-1778860929,29,0,46,56.17131610352803,35.534124999685446,178.01158300062525,407.86206896551727,3.2219773437447228,0.0,46,49,50,54,130,170,180,180,180,180,180
,Aggregated,52,0,43,55.70482296151078,19.671625002956716,178.01158300062525,268.5576923076923,5.777338685335366,0.0,44,49,61,81,110,130,170,180,180,180,180
