Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/execute/bad_token,162,0,34,41.37192330869238,17.77662499989674,148.05554200029292,93.0,1.3542194757284325,0.0,34,42,50,56,75,86,94,120,150,150,150
POST,/execute/injection,556,473,35,40.66110498920091,17.674957999588514,188.31274999956804,81.45323741007195,4.647814990771657,3.95398649394783,35,42,48,51,66,85,120,140,190,190,190
POST,/execute/no_auth,108,0,2,2.567801351839686,1.5134999994188547,9.146541999143665,71.0,0.9028129838189549,0.0,2,3,3,3,3,4,6,8,9,9,9
POST,/execute/oversized,272,0,33,37.75954116176696,16.323750000083237,143.90458400066564,86.0,2.2737512185069977,0.0,33,40,45,49,61,78,98,110,140,140,140
POST,/execute/valid,4514,845,37,60.82441254762109,16.990000000078,623.9111670001876,115.86552946389011,37.73423897184039,7.063675660435342,37,46,53,59,81,140,550,570,600,620,620
,Aggregated,5612,1318,36,56.026219161077094,1.5134999994188547,623.9111670001876,109.4852102637206,46.91283764066644,11.017662154383173,36,44,51,57,77,120,540,560,600,620,620
